Resume_ID,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Resume_Hash_ID,skills_list,skills_count,skills_lower,sentiment_score,sentiment_label,vader_compound,textblob_polarity,textblob_subjectivity,variant_type,skills_original,skills_variant,sentiment_score_variant,sentiment_label_variant,vader_compound_variant,textblob_polarity_variant,textblob_subjectivity_variant,sentiment_delta,sentiment_drift_flag,score_tfidf,score_bm25,rank_tfidf,percentile_tfidf,rank_bm25,percentile_bm25
1,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895.0,8,100.0,6b86b273ff34,['TensorFlow' 'NLP' 'Pytorch'],3,"tensorflow, nlp, pytorch",0.0,neutral,0.0,0.0,0.0,control,"TensorFlow, NLP, Pytorch","TensorFlow, NLP, Pytorch",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07397598894537599,2.0030614639249107,680,0.4501945525291829,606,0.5221789883268483
1,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895.0,8,100.0,6b86b273ff34,['TensorFlow' 'NLP' 'Pytorch'],3,"tensorflow, nlp, pytorch",0.0,neutral,0.0,0.0,0.0,phrasing,"TensorFlow, NLP, Pytorch","TensorFlow framework, NLP techniques, PyTorch library",0.0,neutral,0.0,0.0,0.0,0.0,False,0.027073393215331615,0.0,1089,0.15214007782101166,1154,0.05175097276264591
1,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895.0,8,100.0,6b86b273ff34,['TensorFlow' 'NLP' 'Pytorch'],3,"tensorflow, nlp, pytorch",0.0,neutral,0.0,0.0,0.0,abbreviation,"TensorFlow, NLP, Pytorch","TensorFlow (TF), Natural Language Processing, PyTorch (PT)",0.25672,positive,0.3612,0.1,0.4,0.25672,True,0.13247516924333666,5.596729660692608,126,0.901556420233463,92,0.9241245136186771
1,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895.0,8,100.0,6b86b273ff34,['TensorFlow' 'NLP' 'Pytorch'],3,"tensorflow, nlp, pytorch",0.0,neutral,0.0,0.0,0.0,word_order,"TensorFlow, NLP, Pytorch","NLP, Pytorch, TensorFlow",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07397598894537599,2.1276388321874107,680,0.4501945525291829,585,0.5392996108949416
1,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895.0,8,100.0,6b86b273ff34,['TensorFlow' 'NLP' 'Pytorch'],3,"tensorflow, nlp, pytorch",0.0,neutral,0.0,0.0,0.0,placement,"TensorFlow, NLP, Pytorch","Areas of Expertise — TensorFlow, NLP, Pytorch.",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07070210321543818,3.4477729625518454,819,0.36070038910505836,284,0.7797665369649806
2,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002.0,1,100.0,d4735e3a265e,['Deep Learning' 'Machine Learning' 'Python' 'SQL'],4,"deep learning, machine learning, python, sql",0.0,neutral,0.0,0.0,0.4,control,"Deep Learning, Machine Learning, Python, SQL","Deep Learning, Machine Learning, Python, SQL",0.0,neutral,0.0,0.0,0.4,0.0,False,0.13009261340442888,2.4045716685837757,84,0.8709803921568627,425,0.6509803921568628
2,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002.0,1,100.0,d4735e3a265e,['Deep Learning' 'Machine Learning' 'Python' 'SQL'],4,"deep learning, machine learning, python, sql",0.0,neutral,0.0,0.0,0.4,phrasing,"Deep Learning, Machine Learning, Python, SQL","deep learning techniques, applied machine learning, Python scripting, SQL data retrieval",0.0,neutral,0.0,0.0,0.4,0.0,False,0.21263545609712298,7.310231125337178,51,0.9607843137254902,57,0.9537254901960784
2,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002.0,1,100.0,d4735e3a265e,['Deep Learning' 'Machine Learning' 'Python' 'SQL'],4,"deep learning, machine learning, python, sql",0.0,neutral,0.0,0.0,0.4,abbreviation,"Deep Learning, Machine Learning, Python, SQL","DL, ML, Py, Structured Query Language",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0,0.0,1226,0.02,1164,0.044313725490196076
2,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002.0,1,100.0,d4735e3a265e,['Deep Learning' 'Machine Learning' 'Python' 'SQL'],4,"deep learning, machine learning, python, sql",0.0,neutral,0.0,0.0,0.4,word_order,"Deep Learning, Machine Learning, Python, SQL","Machine Learning, SQL, Python, Deep Learning",0.0,neutral,0.0,0.0,0.4,0.0,False,0.13009261340442888,3.2321745548787324,84,0.8709803921568627,145,0.8541176470588235
2,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002.0,1,100.0,d4735e3a265e,['Deep Learning' 'Machine Learning' 'Python' 'SQL'],4,"deep learning, machine learning, python, sql",0.0,neutral,0.0,0.0,0.4,placement,"Deep Learning, Machine Learning, Python, SQL","Areas of Expertise — Deep Learning, Machine Learning, Python, SQL.",0.0,neutral,0.0,0.0,0.4,0.0,False,0.06523233130450168,1.8783685570156676,690,0.45450980392156864,641,0.49686274509803924
